(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 7.13 ; 7.734999999999999 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/108>) -> (?a czso:pocetVolnychMist [ 664.0 ; 1095.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 8.3 ; 9.01 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/124>) -> (?a czso:pocetVolnychMist [ 664.0 ; 1095.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 8.3 ; 9.01 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/51>) -> (?a czso:pocetVolnychMist [ 664.0 ; 1095.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 8081.5 ; 9639.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3809>) -> (?a czso:pocetVolnychMist [ 211.5 ; 262.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 1.2 ; 3.6550000000000002 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3301>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 9639.0 ; 25767.0 ]) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2008-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 8.74 ; 9.98 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3807>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 901.0 ; 2214.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3209>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 5952.5 ; 6731.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 9639.0 ; 25767.0 ]) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 1.2 ; 3.6550000000000002 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3405>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2928.0 ; 3509.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3604>) -> (?a czso:pocetVolnychMist [ 163.0 ; 211.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4973.5 ; 5952.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3308>) -> (?a czso:pocetVolnychMist [ 163.0 ; 211.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 7.734999999999999 ; 8.3 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/141>) -> (?a czso:pocetVolnychMist [ 1095.5 ; 1316.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 61297.5 ; 91177.0 ]) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2013-12-31>) -> (?a czso:pocetVolnychMist [ 2227.5 ; 2415.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 3.22 ; 4.2 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/27>) -> (?a czso:pocetVolnychMist [ 7139.0 ; 19691.0 ]) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4140.5 ; 4973.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3402>) -> (?a czso:pocetVolnychMist [ 394.5 ; 501.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:podilNezamestnanych [ 9.01 ; 11.47 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/132>) -> (?a czso:pocetVolnychMist [ 2751.5 ; 3651.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
